name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
FASTR,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://fastr.readthedocs.io/en/stable/,https://gitlab.com/radiology/infrastructure/fastr,https://doi.org/10.3389/fict.2016.00015,Academia,,"FASTR is a framework that helps creating workflows of different tools. The workflows created in FASTR are automatically enhanced with flexible data input/output, execution options (local, cluster, etc) and solid provenance.","workflow using different tools, data input, data output, provenance",general purpose,yes,
biomake,,,no,Inactive ,,Existing Workflow systems,,https://github.com/evoldoers/biomake,https://doi.org/10.1093/bioinformatics/btx306,"Academia, Non-Profit",https://www.evoldoers.org/,"This is a make-like utility for managing builds (or analysis workflows) involving multiple dependent files. It supports most of the functionality of GNU Make, along with neat extensions like cluster-based job processing, multiple wildcards per target, MD5 checksums instead of timestamps, and declarative logic programming in Prolog.","make-like, workflows",make-like for analysis workflows,yes,
remake,,,no,Inactive ,,,,https://github.com/richfitz/remake,,Personal?,https://github.com/richfitz,"The idea here is to re-imagine a set of ideas from make but built for R. Rather than having a series of calls to different instances of R (as happens if you run make on R scripts), the idea is to define pieces of a pipeline within an R session. Rather than being language agnostic (like make must be), remake is unapologetically R focussed.","make-like, R ","make-like, workflow",yes,
Zenith,SciFloware,,maybe,Active (2023-04-07),,Existing Workflow systems,https://team.inria.fr/zenith/,,http://www-sop.inria.fr/members/Didier.Parigot/pmwiki/Scifloware/index.php/Main/HomePage,Academia,,"Data-intensive science such as agronomy, astronomy, biology and environmental science must deal with overwhelming amounts of experimental data produced through empirical observation and simulation. Such data must be processed (cleaned, transformed, analyzed) in all kinds of ways in order to draw new conclusions, prove scientific theories and produce knowledge. However, constant progress in scientific observational instruments (e.g. satellites, sensors, loT) and simulation tools (that foster in silico experimentation) creates a huge data overload. Scientific data is very complex, in particular because of heterogeneous methods used for producing data, the uncertainty of captured data, the inherently multi-scale nature (spatial scale, temporal scale) of many sciences and the growing use of imaging (e.g. molecular imaging), resulting in data with hundreds of attributes, dimensions or descriptors. Despite their variety, we can identify common features of scientific data: big data; manipulated through complex, distributed workflows; typically complex, e.g. multidimensional or graph-based; with uncertainty in the data values, e.g., to reflect data capture or observation; important metadata about experiments and their provenance; and mostly append-only (with rare updates).","The three main challenges of scientific data management can be summarized by: (1) scale (big data, big applications); (2) complexity (uncertain, multi-scale data with lots of dimensions), (3) heterogeneity (in particular, data semantics heterogeneity). They are also those of data science, with the goal of making sense of data by combining data management, machine learning, statistics and other disciplines.",scientific data managment,yes,
OpenAlea,,,no,Inactive,,Existing Workflow systems,https://openalea.readthedocs.io/en/latest/,https://github.com/openalea/openalea,https://doi.org/10.1145/2791347.2791365,Academia,,"OpenAlea is an open source project primarily aimed at the plant research community. It is a distributed collaborative effort to develop Python libraries and tools that address the needs of current and future works in Plant Architecture modeling. OpenAlea includes modules to analyse, visualize and model the functioning and growth of plant architectur",,plant research,yes,
COMBUSTI/O,,,no,Inactive,,Existing Workflow systems,,https://github.com/jarlebass/combustio,,Personal,https://github.com/jarlebass/combustio,Abstractions facilitating parallel execution of programs implementing common I/O patterns in a pipelined fashion as workflows in Spark,,spark,yes,
BioCloud,,,no,Retired (2020-01-04),,Existing Workflow systems,,https://github.com/ccwang002/biocloud-server-kai,https://doi.org/10.6342/NTU201601295,Academia,,The ultimate Django server to run NGS analysis pipeline,NGS analysis pipeline,genomic,yes,
Triana,,,no,Retired,404,Existing Workflow systems,http://www.trianacode.org/,,https://link.springer.com/chapter/10.1007/978-1-84628-757-2_20,Academia,,"Triana focuses on supporting services within multiple environments, such as peer-to-peer (P2P) and the Grid, by integrating with various types of middleware toolkits.",,workflow,?,
Kepler,,,no,Retired (2016),,Existing Workflow systems,https://kepler-project.org/,,https://doi.org/10.1002/cpe.994,Academia,,"The Kepler Project is dedicated to furthering and supporting the capabilities, use, and awareness of the free and open source, scientific workflow application, Kepler. Kepler is designed to help scien­tists, analysts, and computer programmers create, execute, and share models and analyses across a broad range of scientific and engineering disciplines. Kepler can operate on data stored in a variety of formats, locally and over the internet, and is an effective environment for integrating disparate software components, such as merging ""R"" scripts with compiled ""C"" code, or facilitating remote, distributed execution of models. Using Kepler's graphical user interface, users simply select and then connect pertinent analytical components and data sources to create a ""scientific workflow""—an executable representation of the steps required to generate results. The Kepler software helps users share and reuse data, workflows, and compo­nents developed by the scientific community to address common needs.",,scientific workflow,yes,
Anduril,,,no,Active (2023-04-07),,Existing Workflow systems,https://anduril.org/site/,https://bitbucket.org/anduril-dev/anduril/src/stable/,https://doi.org/10.1093/bioinformatics/btz133,Academia,,"Anduril is a workflow platform for analyzing large data sets. Anduril provides facilities for analyzing high-thoughput data in biomedical research, and the platform is fully extensible by third parties. Ready-made tools support data visualization, DNA/RNA/ChIP-sequencing, DNA/RNA microarrays, cytometry and image analysis.","big data, HPC,  workflow, container","workflow plaform, big data, genomics",yes,
dgsh,,,no,Active (2023-04-07),,Existing Workflow systems,https://www2.dmst.aueb.gr/dds/sw/dgsh/,https://github.com/dspinellis/dgsh,http://dx.doi.org/10.1109/TC.2017.2695447,Academia,,"The directed graph shell, dgsh, allows the expressive expression of efficient big data set and streams processing pipelines using existing Unix tools as well as custom-built components. It is a Unix-style shell allowing the specification of pipelines with non-linear scatter-gather operations. These form a directed acyclic process graph, which is typically executed by multiple processor cores, thus increasing the operation's processing throughpu","Big data, streaming, unix, pipeline, multipocessing",shell,yes,
EDGE,EDGE bioinformatics,Empowering the Development of Genomics Expertise,no,Active (2023-04-07),,Existing Workflow systems,https://edge.readthedocs.io/en/latest/,https://github.com/LANL-Bioinformatics/EDGE,https://doi.org/10.1093/nar/gkw1027,Academia,,"EDGE is a highly adaptable bioinformatics platform that allows laboratories to quickly analyze and interpret genomic sequence data. The bioinformatics platform allows users to address a wide range of use cases including assay validation and the characterization of novel biological threats, clinical samples, and complex environmental samples. EDGE is designed to:",,genomic,yes,
Pachyderm,,,yes,Active (2023-04-07),,Existing Workflow systems,https://www.pachyderm.com/,https://github.com/pachyderm/pachyderm,,commercial,https://www.pachyderm.com/,"Pachyderm is cost-effective at scale, enabling data engineering teams to automate complex pipelines with sophisticated data transformations across any type of data. Our unique approach provides parallelized processing of multi-stage, language-agnostic pipelines with data versioning and data lineage tracking. Pachyderm delivers the ultimate CI/CD engine for data.","data pipeline, orchestration, versioning, data lineage","Data engineering, data-driven pipelines",partially,
digdag,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://www.digdag.io/,https://github.com/treasure-data/digdag/,,enterprise,https://www.treasuredata.com/,"Simple, Open Source, Multi-Cloud Workflow Engine. Digdag is a simple tool that helps you to build, run, schedule, and 
monitor complex pipelines of tasks. It handles dependency resolution so 
that tasks run in series or in parallel.

Digdag replaces cron, facilitates IT operations automation, orchestrates
 data engineering tasks, coordinates machine learning pipelines, and 
more.",,"workflow engine, data engineering, pipelines, ML",yes,
Agua / Automated Genomics Utilities Agent,,,,Retired,404,Existing Workflow systems,http://aguadev.org,,,,,,,,,
BioDepot Workflow Builder,,,maybe,Active (2023-04-07),,Existing Workflow systems,,https://github.com/BioDepot/BioDepot-workflow-builder,https://doi.org/10.1016/j.cels.2019.08.007,Academia,http://bime.uw.edu/,"he BioDepot-workflow-builder (Bwb) can be used to build bioinformatics workflows by combining interchangeable and encapsulated widgets, allowing researchers to easily implement and test new algorithms and observe how the outputs differ. Widgets call Docker containers to execute software tools that could potentially be written in a different programming language, require different system configurations and/or be developed by different research groups.","docker, container, workflow, reproducibility",genomic,yes,
IMP,,Integrated Meta-omic Pipeline,maybe,Active (2023-04-07),,Existing Workflow systems,https://r3lab.uni.lu/web/imp/,https://git-r3lab.uni.lu/IMP/imp3,https://doi.org/10.1186/s13059-016-1116-8,Academia,,"IMP, the Integrated Meta-omic Pipeline is a reproducible and modular pipeline for large-scale standardized integrated analysis of coupled metagenomic and metatranscriptomic data. IMP incorporates robust read preprocessing, iterative co-assembly of metagenomic and metatranscriptomic data, analyses of microbial community structure and function as well as genomic signature-based visualizations. As an added functionality, IMP also performs either single-omic metagenomic or metatranscriptomic analyses.","preprocessing, quality control, visualization, workflows, reproducible",genomic,yes,
Butler,,,maybe,Inactive,,Existing Workflow systems,https://butler.readthedocs.io/en/latest/,https://github.com/yakneens/butler,https://doi.org/10.1038/s41587-019-0360-3,Academia,,"Butler is a collection of tools whose goal is to aid researchers in carrying out scientific analyses on a multitude of cloud computing platforms (AWS, Openstack, Google Compute Platform, Azure, and others). Butler is based on many other Open Source projects such as - Apache Airflow, Terraform, Saltstack, Grafana, InfluxDB, PostgreSQL, Celery, Elasticsearch, Consul, and others.","cloud, provisioning, configuration managment, workflow managment, operations management","big data, scientific analysis",yes,
adage / yadage,,,no,Active (2023-04-07),,Existing Workflow systems,https://yadage.readthedocs.io/en/latest/,https://github.com/yadage/adage,,Personal?,,"This is a small experimental package to see how one could describe workflows that are not completely known at definition time. Tasks should be runnable both in a multiprocessing pool, or using a number of celery workers or a IPython cluster.","experimentall, dynamic DAG, workflow","DAG, workflow",yes,
Hi-WAY,,Execution of Scientific Workflows on Hadoop YARN,no,Inactive,,Existing Workflow systems,,https://github.com/marcbux/Hi-WAY,https://doi.org/10.5441/002/edbt.2017.87,Academia,,"The Hi-WAY Workflow ApplicationMaster for YARN provides the means to execute arbitrary scientific workflows on top of Apache Hadoop 2 (YARN). In this context, scientific workflows are directed acyclic graphs (DAGs), in which nodes are black-box tasks (e.g. Bash scripts, Java programs, Python scripts, compiled C++ executables) processing unstructured data (arbitrary files). Edges in the graph represent data dependencies between the tasks. Hi-WAY uses Hadoop's distributed file system HDFS to store the workflow's input, output and intermediate data. Hi-WAY currently supports the workflow languages Cuneiform, Galaxy, and Pegasus DAX, yet can be easily extended to support other workflow languages. A number of general-purpose and more specialized schedulers are provided, which can take into account data locality when assigning tasks to machines to reduce data transfer times during workflow execution. When running workflows, Hi-WAY captures comprehensive provenance information, which can be stored as files in HDFS, as well as in a MySQL or Couchbase database. These provenance traces are evaluated by the scheduler for performance estimation and can be used to re-execute previous workflow runs. The ApplicationMaster has been tested to scale to more than 600 concurrent tasks and is fault-tolerant in that it is able to restart failed tasks. ","DAG, YARN, big data, galaxy, HDFS","YARN, workflow",yes,
OpenMOLE,,,no,Inactive,,Existing Workflow systems,,https://github.com/openmole/openmole,https://doi.org/10.1016/j.future.2013.05.003,Academia,,"It offers tools to run, explore, diagnose and optimize your numerical model, taking advantage of distributed computing environments. With OpenMOLE you can explore your already developed model, in any language (Java, Binary exe, NetLogo, R, SciLab, Python, C++...).","workflow, distributed computing, scalable","dscabale, distributed computing",yes,
Biopet,,,no,Inactive,,Existing Workflow systems,https://github.com/biopet/biopet,https://github.com/biopet/biopet,https://doi.org/10.1109/CCGRID.2017.59,Academia,,"Biopet (Bio Pipeline Execution Toolkit) is the main pipeline development framework of the LUMC Sequencing Analysis Support Core team. It contains our main pipelines and some of the command line tools we develop in-house. It is meant to be used in the main SHARK computing cluster. While usage outside of SHARK is technically possible, some adjustments may need to be made in order to do so.","pipeline development framework, CLI",genomic,yes,
Nephele,,,,Inactive,,Existing Workflow systems,https://nephele.niaid.nih.gov/,https://github.com/niaid/nephele2,https://doi.org/10.1093/bioinformatics/btx617,National-Institute,,"Open, accessible platform for microbial bioinformatics. Overview: Nephele is a cloud platform developed by a team of 
computational biologists and bioinformaticians that also perform 
metagenomics
  analysis in collaboration with researchers at NIAID. It was born from 
the need of making tools and pipelines available to those with
  limited computational resources or those lacking expertise in 
metagenomics pipeline development.
 Pre-process sequencing data, analyze, explore","pipeline, analysisi, exploration, pre-processing",bionformatics,yes,
TOPPAS,,,,URL not found,,Existing Workflow systems,http://www.OpenMS.de/TOPPAS.,,https://doi.org/10.1021/pr300187f,Academia,,TOPPAS: A Graphical Workflow Editor for the Analysis of High-Throughput Proteomics Data,GUI pipeline,proteomics,?,
SBPipe,,,no,Inactive,,Existing Workflow systems,https://sbpipe.readthedocs.io/en/latest/,https://github.com/pdp10/sbpipe,https://doi.org/10.1186/s12918-017-0423-3,Academia,,"SBpipe allows mathematical modellers to automatically repeat the tasks of model simulation and parameter estimation, and extract robustness information from these repeat sequences in a solid and consistent manner, facilitating model development and analysis. SBpipe can run models implemented in COPASI, Python or coded in any other programming language using Python as a wrapper module. Pipelines can run on multicore computers, Sun Grid Engine (SGE), Load Sharing Facility (LSF) clusters, or via Snakemake.","Pipelines, repeated modelling, analysis, multicore, grid engine, snamemake",,yes,
dray,,,no,Retired,Domain taken over,Existing Workflow systems,http://dray.it/,https://github.com/CenturyLinkLabs/dray,,Enterprise,https://www.lumen.com/en-us/about.html,"An engine for managing the execution of container-based workflows. Most common Docker use cases involve using containers for hosting long-running
services. These are things like a web application, database or message queue -- services
that are running continuously, waiting to service requests. Another interesting use case for Docker is to wrap short-lived, single-purpose tasks.
Perhaps it's a Ruby app that needs to be execute periodically or a set of bash scripts
that need to be executed in sequence. Much like the services described above, these things
can be wrapped in a Docker container to provide an isolated execution environment. The only
real difference is that the task containers exit when they've finished their work while the
service containers run until they are explicitly stopped.","container, docker, workflow",container-based workflow engine,yes,
GenomeVIP,,,,Inactive,,Existing Workflow systems,https://genomevip.readthedocs.io/,https://github.com/ding-lab/GenomeVIP,https://doi.org/10.1101/gr.211656.116,Academia,,GenomeVIP is a web platform for performing variant discovery and annotation on Amazon’s Web Service (AWS) cloud or on local high-performance computing clusters.,"AWS, HPC",genomic,,
GridSAM,,,no,Inactive ( 2015),,Existing Workflow systems,https://sourceforge.net/projects/gridsam/,,https://doi.org/10.1007/3-540-45644-9_17,Academia,,GridSAM provides a job submission open standards based web service for submitting computational jobs to many commonly used distributed resource management systems.,distributed computing,"ditributed computing, job submission",yes,
Roddy,,,no,Retired,"No new features will be implemented for Roddy! We will continue to fix bugs occurring with currently existing workflows. On the long run, existing workflows should be migrated to other workflow management systems.",Existing Workflow systems,https://roddy-documentation.readthedocs.io/en/latest/,https://github.com/TheRoddyWMS/Roddy,,National-Institute,https://www.dkfz.de,Roddy is a framework for development and management of workflows on a batch processing cluster. It has been developed at the German Cancer Research Center (DKFZ) in Heidelberg in the eilslabs group and is used by a number of in-house workflows such as the PanCancer Alignment Workflow and the ACEseq workflow. The development is now continued in the Omics IT and Data Management Core Facility (ODCF) at the DKFZ.,,workflow management system,yes,
SciFlo,,,,URL not found,404,Existing Workflow systems,,,,,,,,,,
GNU Guix Workflow Language,,,no,Active,,,https://www.guixwl.org/,https://git.savannah.gnu.org/cgit/gwl.git,https://link.springer.com/protocol/10.1007/978-1-4939-9074-0_24,Academia,,"The Guix Workflow Language (GWL) provides a scientific computing extension to GNU Guix's declarative language for package management for the declaration of scientific workflows. It combines the specification of work units and their relationship to one another with the reproducible software deployment facilities of the functional package manager GNU Guix. A GWL workflow will always run in a reproducible environment that GNU Guix automatically prepares. The GWL extends your Guix installation with a single new sub-command: guix workflow. In the GWL there are two concepts we need to know about: processes and workflows. We describe a computation (running a program, or evaluating a Scheme expression) using a process. A workflow describes how individual processes relate to each other (e.g. process B must run after process A, and process C must run before process A). GWL workflows are executable code. The workflow language is embedded in the powerful general purpose language Guile Scheme, so you can compute arbitrarily complex process and workflow definitions. The GWL supports a classic Lisp syntax as well as a Python-like syntax called Wisp.","workflows, reproducible environment, unix, HPC",scientific omputing,yes,
Porcupine,,,maybe,Retired,This app has been superseded by a web version and is thus no longer under active development,Existing Workflow systems,https://timvanmourik.github.io/Porcupine/,https://github.com/TimVanMourik/Porcupine,https://doi.org/10.1371/journal.pcbi.1006064,Academia,,,"pipeline, reproducible, docker, container","bioinformatics, neuroimaging",yes,
GiraffeTools,Giraffe Tools,,no,,from Porcubine,,https://giraffe.tools/,https://github.com/GiraffeTools/GiraffeTools,,Academia?,,GiraffeTools provides tools for interactive workflow development Currently the main tool is the Porcupine workflow editor. You can visually build a node graph that represents a workflow and read and write it from and to GitHub.,reproducible worklow experiments,workflow,yes,
Parsl,,,no,Active,,Existing Workflow systems,http://parsl-project.org/,https://github.com/Parsl/parsl,https://doi.org/10.1145/3307681.3325400,Academia,,"You can use Parsl just like Python's parallel executors but across multiple cores and nodes. However, the real power of Parsl is in expressing multi-step workflows of functions. Parsl lets you chain functions together and will launch each function as inputs and computing resources are available.","parallel programming, python, multicore, nodes, hpc, multistep, workflow",parallel programming,yes,
ECFLOW ,,,no,Active,,Existing Workflow systems,https://ecflow.readthedocs.io/en/latest/index.html,https://github.com/ecmwf/ecflow,https://www.ecmwf.int/en/elibrary/80527-ecflow,Research-Insitute,https://www.ecmwf.int/,"ecFlow (Workflow primarily for Meteorological Applications) is a client/server workflow package that enables users to run a large number of programs (with dependencies on each other and on time) in a controlled environment. It provides tolerance for hardware and software failures, combined with restart capabilities. It is used at ECMWF to run all our operational suites across a range of platforms.",,wheater forcast,yes,
ophidia,,,no,Active,,Existing Workflow systems,https://ophidia.cmcc.it/,https://github.com/OphidiaBigData/ophidia-analytics-framework,https://doi.org/10.1016/j.procs.2013.05.409,Academia,,"Ophidia is a CMCC Foundation research project addressing big data challenges for eScience. It provides support for data-intensive analysis exploiting advanced parallel computing techniques and smart data distribution methods. It exploits an array-based storage model and a hierarchical storage organisation to partition and distribute multidimensional scientific datasets over multiple nodes. The Ophidia analytics framework can be exploited in different scientific domains (e.g. Climate Change, Earth Sciences, Life Sciences) and with very heterogeneous sets of data","big data, data managment, parallel computing, data mining, data analytics",big data analytics framework,yes,
WebLicht,,,no,Retired,,Existing Workflow systems,https://weblicht.sfs.uni-tuebingen.de/weblichtwiki/index.php/Main_Page,,https://aclanthology.org/P10-4005/,Academia,,"WebLicht is an execution environment for automatic annotation of text corpora. Linguistic tools such as tokenizers, part of speech taggers, and parsers are encapsulated as web services, which can be combined by the user into custom processing chains. The resulting annotations can then be visualized in an appropriate way, such as in a table or tree format.",,"linguistics, text analytics",?,
Gate Cloud ,,,no,Active,,Existing Workflow systems,https://cloud.gate.ac.uk/,,https://doi.org/10.1098/rsta.2012.0071,Academia,https://gate.ac.uk/,"Welcome to GATE Cloud – the home of affordable text analytics solutions from the world-leading open source GATE platform. Collect and/or process documents and social media, using freemium pre-packaged annotation services, or scale out and run your own GATE pipeline on millions of documents. View and export the results in structured formats, or run your own private instance of our highly scalable GATE Mímir semantic search platform.",,text analytics,yes,
SCIPION,,,no,URL not found,404,Existing Workflow systems,,,,,,,,,,
ergatis,,,no,Inactive,,Existing Workflow systems,https://ergatis.sourceforge.net/,https://github.com/jorvis/ergatis,https://doi.org/10.1093/bioinformatics/btq167,Academia,https://www.igs.umaryland.edu/,"Ergatis is a web-based utility that is used to create, run, and monitor reusable computational analysis pipelines. It contains pre-built components for common bioinformatics analysis tasks. These components can be arranged graphically to form highly-configurable pipelines. Each analysis component supports multiple output formats, including the Bioinformatic Sequence Markup 
                Language (BSML). The current implementation includes support for data loading into project databases following the CHADO schema, a highly normalized, community-supported schema for storage of biological annotation data.","reusable computationhal pipelines, analysis tasks via GUI",bioinformatics,,
Tigr workflow,"TIGR ""Workflow""",,no,Retired (2007),,Existing Workflow systems,https://tigr-workflow.sourceforge.net/,,,Non-Profit-Research-Institute,https://en.wikipedia.org/wiki/J._Craig_Venter_Institute,"The Institute for Genomic Research (TIGR) has many process piplelines that need to be created, executed, and monitored on an on-going basis. Each pipeline may include multiple discrete process that can be executed either sequentially or in parallel. To reduce manual intervention, and streamline the process flow, TIGR's Annotation software team has designed a system called Workflow that can be used to build, run, and monitor such process pipelines or workflows.",workflow system,geomic,,
Archivematica,,,maybe,Active,,Existing Workflow systems,https://www.archivematica.org,https://github.com/artefactual/archivematica,https://www.academia.edu/download/30839470/PubDat_191968.pdf#page=145,Enterprise,https://www.artefactual.com/,Archivematica is a free and open-source digital preservation system that is designed to maintain long-term access to digital memory. Archivematica is packaged with the web-based content management system AtoM for access to your digital objects,,digital preservation system,yes,
Martian,,,no,Active,,Existing Workflow systems,https://martian-lang.org/about/,https://github.com/martian-lang/martian,,Enterprise,https://www.10xgenomics.com/,"Martian is a language and framework for developing and executing complex computational pipelines.
    Designed for simplicity: simple to learn, simple to develop, simple to run, and simple to debug.
    Allows combination of software components written in any language into a single pipeline.
    Powerful support for scaling computationally intensive pipelines from standalone machines, to clusters, to cloud.
    Rich support for managing the full lifecycle of complex, compute and data-intensive pipelines","hpc, pipeline, local, cluster",computational pipelines,yes,
BioMAJ,,,maybe,Active,,Existing Workflow systems,http://genouest.github.io/biomaj/,https://github.com/genouest/biomaj,https://doi.org/10.1093%2Fbioinformatics%2Fbtn325,Non-Profit-Research-Institute,https://www.genouest.org/,BioMAJ (BIOlogie Mise A Jour) is a workflow engine dedicated to data synchronization and processing. The Software automates the update cycle and the supervision of the locally mirrored databank repository.,"workflow, data synchronization, DAG, data processing",workflow engine,yes,
Conveyor,,,no,Retired ,,Existing Workflow systems,https://wwww.cebitec.uni-bielefeld.de/conveyor.cebitec.uni-bielefeld.de/,,https://doi.org/10.1093/bioinformatics/btr040,Academia,,,,bioinformatics,yes,
Biopipe ,,,no,URL not found,,Existing Workflow systems,,,,,,,,,yes,
Wildfire,,,no,Retired (2005),,Existing Workflow systems,http://wildfire.bii.a-star.edu.sg/,http://wildfire.bii.a-star.edu.sg/files/wildfire-2.0-src.zip,https://doi.org/10.1186/1471-2105-6-69,Academia,,"Wildfire is a graphical tool for building workflows. It comes preconfigured to use EMBOSS programs as components for Bioinformatics workflows, and is extensible to support other components. 

                                                        GEL is a general-purpose parallel scripting language for describing workflows. It features 
                                                        explicit parallel constructs which allow for efficient parallel execution on clusters, Grids 
                                                        and SMP machines. There is GEL support for Condor Grids, and SGE, PBS and LSF-based 
                                                        clusters. ",,bioinformatics,yes,
BioWBI,,,no,Retired (2004),,Existing Workflow systems,,,http://bioinformatics.hsanmartino.it/bits_library/library/00079.pdf,Academia,,,,bioinformatics,yes,
BioWMS,,,no,Retired (2004),,Existing Workflow systems,,,http://bioinformatics.hsanmartino.it/bits_library/library/00568.pdf,Academia,,,,bioinformatics,yes,
BioMoby,,,no,Retired (2008),,Existing Workflow systems,http://biomoby.open-bio.org/,,https://doi.org/10.1186/1471-2105-7-523,Academia,,,,bioinformatics,yes,
SIBIOS,,,no,Retired (2004),,Existing Workflow systems,,,https://ieeexplore.ieee.org/document/1309094,Academia,,,,bioinformatics,yes,
Ngsane,,,no,Inactive (2016),,Existing Workflow systems,https://github.com/BauerLab/ngsane,https://github.com/BauerLab/ngsane,https://doi.org/10.1093/bioinformatics/btu036,Academia,,NGSANE is a framework for advanced production informatics of Next Generation Sequencing libraries.,,bioinformatics,yes,
Pwrake,,,no,Inactive (2012),,Existing Workflow systems,,https://github.com/misshie/Workflows,https://doi.org/10.1186%2F1756-0500-4-331,Academia,,Pwrake for bioinfomatics workflows using GATK and Dindel,,,yes,
Nesoni,,,no,Retired (2015),"With the closure of the Victorian Bioinformatics Consortium, I anticipate little further development on Nesoni.",Existing Workflow systems,,https://github.com/Victorian-Bioinformatics-Consortium/nesoni,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f5c76df5b5cb8f74e635cdc9ca3071183c892c48,Consortium,,"Nesoni is a high-throughput sequencing data analysis toolset, which the Victorian Bioinformatics Consortium developed to cope with the flood of Illumina, 454, and SOLiD data being produced.",NGS,"bioinformatics, genomics",yes,
Skam,,,no,Inactive (2005),,Existing Workflow systems,https://skam.sourceforge.net/skam-intro.html,,,,,,,make-like,yes,
TREVA,,Targeted REsequencing Virtual Appliance,no,Inactive (2012),,Existing Workflow systems,http://bioinformatics.petermac.org/treva/,,https://doi.org/10.1371/journal.pone.0095217,Academia,,"TREVA (Targeted REsequencing Virtual Appliance) is a user-friendly virtual appliance, containing complex bioinformatics pipelines that can be installed and setup with minimal efforts. TREVA pipelines support a series of analyses commonly required for targeted resequencing and whole exome sequencing data, including: single-nucleotide and insertion/deletion variant calling, copy number analysis, and cohort-based analyses such as pathway and significantly mutated genes analyses.",,"bioinformatics, genomics",yes,
Eugene,EGene,,no,Active,,Existing Workflow systems,http://eugene.toulouse.inra.fr./,https://github.com/tschiex/eugene,https://doi.org/10.1093/bioinformatics/btu366,Academia,,EuGene: integrative gene finder for eukaryotic and prokaryotic genomes,nextflow pipeline,genomics,yes,
WEP ,,,no,URL not found,,Existing Workflow systems,https://bioinformatics.cineca.it/wep/,,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-14-S7-S11,Academia,,WEP: a high-performance analysis pipeline for whole-exome data,NGS,genomics,yes,
Microbase,,,no,Inactive (2012),,Existing Workflow systems,https://ico2s.org/software/microbase.html,,https://bitbucket.org/keith_f/microbase/src/master/,Academia,https://ico2s.org/index.html,"As bioinformatics datasets grow ever larger, and analyses become increasingly complex, there is a need for data handling infrastructures to keep pace with developing technology. Large-scale bioinformatics analyses often require the use of multiple software tools, each of which may be computationally intensive. Microbase enables the construction and execution of complex analysis workflows across a cluster of machines. Workflows are not static entities and may be extended with new tools over time, without having to repeat any previously-completed computations. Microbase runs a low-overhead, symmetric compute client to utilise available Grid or Cloud compute resources. A cluster may be expanded or reduced elastically, simply by starting or stopping compute clients. Many bioinformatics analyses can be executed in an embarrassingly parallel fashion, and therefore exploit the inherent parallelism present in large-scale computing environments.",,bionformatics,yes,
esciencecentral,e-Science Central,,no,URL not found,,Existing Workflow systems,https://www.esciencecentral.org/,,https://doi.org/10.1098%2Frsta.2012.0085,Academia,,?,,,,
Cyrille2,,,no,Code not found,,Existing Workflow systems,,,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-9-96,Academia,,"High-throughput bioinformatics with the Cyrille2 pipeline system. We have developed a generic pipeline system called Cyrille2. The system 
is modular in design and consists of three functionally distinct parts: 
1) a web based, graphical user interface (GUI) that enables a pipeline operator to manage the system; 2) the Scheduler,
 which forms the functional core of the system and which tracks what 
data enters the system and determines what jobs must be scheduled for 
execution, and; 3) the Executor, which searches for scheduled jobs and executes these on a compute cluster.","High-throughput, pipeline, GUI",bioinformatics,yes,
PaPy,,,no,Inactive,,Existing Workflow systems,,https://github.com/mcieslik-mctp/papy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3051902/,Academia,,"To enable the flexible creation and execution of bioinformatics dataflows, we have written a modular framework for parallel pipelines in Python ('PaPy'). A PaPy workflow is created from re-usable components connected by data-pipes into a directed acyclic graph, which together define nested higher-order map functions. The successive functional transformations of input data are evaluated on flexibly pooled compute resources, either local or remote. Input items are processed in batches of adjustable size, all flowing one to tune the trade-off between parallelism and lazy-evaluation (memory consumption). An add-on module ('NuBio') facilitates the creation of bioinformatics workflows by providing domain specific data-containers (e.g., for biomolecular sequences, alignments, structures) and functionality (e.g., to parse/write standard file formats)","DAG, parallel, distributed, pipeline, flow-based, PYt",bioinformatics,yes,
Jobcenter,,,no,Inactive,,Existing Workflow systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3494518/,https://github.com/yeastrc/jobcenter,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3494518/,Academia,,"A client-server application and framework for job management and distributed job execution. JobCenter is a client-server application and framework for job 
management and distributed job execution. The client and server 
components are both written in Java and are cross-platform and 
relatively easy to install. All communication with the server is 
client-driven, which allows worker nodes to run anywhere (even behind 
external firewalls or “in the cloud”) and provides inherent load 
balancing. Adding a worker node to the worker pool is as simple as 
dropping the JobCenter client files onto any computer and performing 
basic configuration, which provides tremendous ease-of-use, flexibility,
 and limitless horizontal scalability. Each worker installation may be 
independently configured, including the types of jobs it is able to run.
 Executed jobs may be written in any language and may include multistep 
workflows.",,distributed job execution,yes,
